基金代码	基金名称	开始日期	类型
000001	华夏成长	2001-12-18	混合式基金
000003	中海可转债债券	2013-03-20	债券基金
000005	嘉实增强信用	2013-03-08	债券基金
000007	鹏华国企债	2013-03-08	债券基金
000008	嘉实中证500ETF联接基金	2013-03-22	联接基金
000009	易方达天天理财货币	2013-03-04	货币基金
000011	华夏大盘	2004-08-11	混合式基金
000014	华夏聚利债券	2013-03-19	债券基金
000015	华夏纯债债券	2013-03-08	债券基金
000017	财通可持续混合	2013-03-27	混合式基金
000020	景顺品质	2013-03-19	混合式基金
000021	华夏优势增长混合	2006-11-24	混合式基金
000022	南方中债中期票据指数债权发起式	2013-05-03	债券基金
000024	大摩双利增强债券	2013-03-26	债券基金
000026	泰达信用合利债券	2013-03-19	债券基金
000028	华富保本	2013-04-24	混合式基金
000029	富国宏观策略	2013-04-12	混合式基金
000030	长城久利	2013-04-18	混合式基金
000031	华夏复兴混合	2007-09-10	混合式基金
000032	易方达信用债债券	2013-04-24	债券基金
000037	广发理财7天债券	2013-06-20	货币基金
000039	农银高增长	2013-03-26	混合式基金
000041	华夏全球	2007-10-09	股票基金
000042	中证财通可持续发展100指数	2013-03-22	股票基金
000043	嘉实美国成长股票	2013-06-14	股票基金
000045	工银产业债券	2013-03-28	债券基金
000047	华夏双债债券	2013-03-14	债券基金
000049	中银标普全球	2013-03-19	股票基金
000050	长盛纯债债券基金	2013-03-13	债券基金
000051	华夏沪深300ETF联接	2009-07-10	联接基金
000053	鹏华永诚一年定期开放债券	2013-05-03	债券基金
000054	鹏华双债增利	2013-03-13	债券基金
270042	广发纳斯达克100指数（QDII）	2012-08-15	股票基金
000056	建信消费	2013-06-14	混合式基金
000057	中银消费	2013-04-25	混合式基金
000058	国联安保本	2013-04-23	混合式基金
000059	国联安医药100	2013-08-21	股票基金
000060	国联安股债	2013-06-26	混合式基金
000061	华夏盛世混合	2009-12-11	混合式基金
000062	银华量化	2013-05-22	混合式基金
000063	长盛电子信息	2013-05-10	混合式基金
000064	大摩18个月	2013-06-25	债券基金
000065	国海焦点驱动	2013-05-07	混合式基金
000066	诺安鸿鑫保本	2013-05-03	混合式基金
000067	民生加银转债优选	2013-04-18	债券基金
000069	国投瑞银中高等级债券	2013-05-14	债券基金
000071	华夏恒生ETF联接	2012-08-21	联接基金
000072	华安保本	2013-05-14	混合式基金
000073	上投成长	2013-05-15	混合式基金
000074	工银信用纯债一年定开债券	2013-05-22	债券基金
000078	工银信用纯债两年定开债券	2013-06-21	债券基金
000080	天治可转债	2013-06-04	债券基金
000082	嘉实研究阿尔法	2013-05-28	股票基金
000083	汇添富消费行业混合	2013-05-03	混合式基金
000084	博时安盈债券	2013-04-23	债券基金
000086	南方稳利	2013-07-23	债券基金
000087	嘉实中证金边中期国债ETF联接	2013-05-10	联接基金
000089	民生加银家盈理财月度	2013-04-25	货币基金
000103	国泰高收益债	2013-04-26	债券基金
000104	华宸稳健债券	2013-08-19	债券基金
000105	建信安心回报债券	2013-05-14	债券基金
000107	富国信用增强债券	2013-05-21	债券基金
000110	金鹰元安混合	2013-05-20	混合式基金
000111	易方达纯债1年定期开放债券	2013-07-30	债券基金
