,Volume
0,1317
1,1820
2,3116
3,2111
4,1307
5,679
6,888
7,2650
8,3670
9,6261
10,1746
11,2261
12,1617
13,1781
14,1526
15,1299
16,1099
17,1801
18,731
19,2955
20,2610
21,1518
22,3352
23,2658
24,2982
25,2542
26,12560
27,23618
28,12155
29,6919
30,5113
31,5919
32,3457
33,10717
34,4477
35,2040
36,2663
37,3782
38,2112
39,2624
40,2243
41,1899
42,4261
43,2155
44,3724
45,2584
46,1839
47,3034
48,2335
49,1734
50,2595
51,3374
52,2494
53,6983
54,8932
55,3467
56,11081
57,8484
58,4780
59,3510
60,6353
61,4195
62,2813
63,5463
64,9732
65,5735
66,5040
67,2471
68,2325
69,2659
70,2320
71,2755
72,4036
73,2307
74,1841
75,3170
76,2208
77,1676
78,2737
79,2740
80,1916
81,3067
82,1182
83,2136
84,3670
85,1855
86,1928
87,2331
88,2280
89,1701
90,1319
91,2224
92,3908
93,2676
94,1873
95,1908
96,2956
97,3840
98,3058
99,2889
100,2303
101,2641
102,0
103,0
104,0
105,2899
106,2329
107,1589
108,1254
109,0
110,1941
111,1546
112,2823
113,3053
114,3347
115,1693
116,1462
117,1465
118,2479
119,2056
120,2078
121,2291
122,1989
123,2916
124,5416
125,3277
126,3425
127,2927
128,3835
129,4105
130,3010
131,5620
132,5103
133,3170
134,3604
135,4369
136,2875
137,4568
138,2215
139,3370
140,2280
141,2826
142,1587
143,1635
144,1516
145,1602
146,1706
147,2296
148,2174
149,1684
150,1116
151,2569
152,1260
153,966
154,1075
155,629
156,619
157,907
158,1203
159,1988
160,1587
161,2345
162,1042
163,2558
164,2056
165,1068
166,1045
167,1844
168,1836
169,2850
170,3297
171,1732
172,1864
173,1332
174,1464
175,1177
176,2144
177,2074
178,2085
179,2543
180,1581
181,1608
182,1532
183,1552
184,3191
185,1440
186,1404
187,1391
188,3237
189,3692
190,3194
191,5072
192,4793
193,12134
194,26129
195,16385
196,11545
197,9872
198,19527
199,11738
200,26557
201,24596
202,12029
203,12710
204,7195
205,15702
206,12562
207,10342
208,7176
209,14695
210,24375
211,12495
212,10220
213,14030
214,10571
215,11288
216,11803
217,10732
218,4855
219,4275
220,3489
221,4157
222,6172
223,3646
224,3395
225,7447
226,3805
227,4671
228,4167
229,3792
230,3456
231,4308
232,4297
233,6623
234,4817
235,2463
236,5767
237,3228
238,2275
239,4211
240,3567
241,4307
242,3179
243,2446
244,4888
245,5830
246,8586
247,10449
248,5778
249,4195
250,5176
251,2593
252,3506
253,5829
254,4750
255,4983
256,5325
257,6401
258,4109
259,8594
260,8240
261,7117
262,8388
263,6356
264,5823
265,4258
266,6174
267,6340
268,8766
269,10726
270,10254
271,5789
272,9421
273,3467
274,3072
275,1895
276,4086
277,6362
278,6955
279,7012
280,6436
281,6215
282,9458
283,5777
284,9791
285,5066
286,3770
287,4021
288,5304
289,7282
290,4672
291,3291
292,2932
293,3541
294,3276
295,3250
296,4218
297,8046
298,2445
299,2981
300,2812
301,2350
302,2296
303,2282
304,6558
305,5286
306,9278
307,8380
308,7429
309,4023
310,2357
311,4908
312,2934
313,4089
314,2319
315,3782
316,1831
317,2150
318,1767
319,2002
320,2192
321,2032
322,2285
323,2799
324,2091
325,2169
326,1381
327,1354
328,1010
329,1463
330,1530
331,1540
332,2064
333,2228
334,2544
335,1391
336,1888
337,1600
338,1966
339,1318
340,1364
341,1851
342,1986
343,1141
344,1120
345,961
346,1752
347,1628
348,2031
349,1143
350,1153
351,1363
352,1405
353,3094
354,5671
355,1592
356,1461
357,1041
358,1111
359,718
360,973
361,910
362,858
363,1094
364,897
365,654
366,1973
367,884
368,534
369,629
370,659
371,786
372,426
373,512
374,769
375,536
376,954
377,1033
378,1181
379,1488
380,1079
381,973
382,851
383,1395
384,997
385,1964
386,1633
387,834
388,1295
389,1043
390,864
391,1050
392,638
393,686
394,535
395,674
396,926
397,788
398,688
399,649
400,519
401,694
402,553
403,758
404,652
405,475
406,592
407,603
408,1319
409,841
410,912
411,812
412,634
413,1100
414,1345
415,711
416,995
417,629
418,614
419,952
420,992
421,549
422,831
423,751
424,1288
425,1010
426,1200
427,1523
428,792
429,647
430,1765
431,1229
432,1508
433,804
434,924
435,777
436,1434
437,1637
438,1045
439,680
440,874
441,645
442,879
443,781
444,711
445,1221
446,2436
447,2492
448,2401
449,1915
450,1552
451,913
452,742
453,1184
454,1219
455,1039
456,3571
457,2598
458,1923
459,616
460,789
461,1253
462,597
463,414
464,488
465,717
466,560
467,1156
468,607
469,462
470,713
471,300
472,511
473,416
474,400
475,1057
476,1167
477,734
478,549
479,493
480,498
481,673
482,462
483,569
484,395
485,650
486,605
487,783
488,620
489,701
490,587
491,721
492,835
493,580
494,474
495,444
496,480
497,377
498,559
499,777
500,541
501,375
502,415
503,581
504,1547
505,1938
506,1433
507,1075
508,1663
509,1010
510,931
511,1047
512,1445
513,1228
514,783
515,1277
516,1648
517,1108
518,1238
519,1316
520,4111
521,3627
522,2371
523,1328
524,1831
525,2941
526,2967
527,5900
528,3415
529,3709
530,0
531,12449
532,10598
533,6575
534,9293
535,7074
536,3216
537,3455
538,4104
539,4174
540,4163
541,6103
542,2374
543,3211
544,6595
545,7771
546,4884
547,0
548,0
549,23898
550,14449
551,10341
552,9755
553,10372
554,18776
555,13277
556,10071
557,7745
558,5427
559,7867
560,17363
561,11460
562,8819
563,8566
564,12513
565,7983
566,3821
567,3763
568,9078
569,10101
570,12304
571,6916
572,4957
573,4047
574,4241
575,4864
576,4119
577,3075
578,6640
579,4596
580,9784
581,5251
582,4223
583,5509
584,3893
585,4586
586,10071
587,4989
588,2855
589,4851
590,3322
591,3226
592,3000
593,2544
594,2169
595,8298
596,3929
597,5871
598,5525
599,6229
600,4539
601,6179
602,6602
603,6789
604,4072
605,3758
606,2755
607,1720
608,3589
609,3327
610,2495
611,2657
612,2158
613,2403
614,2078
615,5355
616,3642
617,3606
618,3040
619,2697
620,3911
621,9638
