证券代码,证券名称,交易时间,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅%,成交量,成交额
SPX,标普500,2000/1/4,"1,455.22","1,455.22","1,397.43","1,399.42",-55.7999,-3.8345,0,0
SPX,标普500,2000/1/5,"1,399.42","1,413.27","1,377.68","1,402.11",2.6899,0.1922,0,0
SPX,标普500,2000/1/6,"1,402.11","1,411.90","1,392.02","1,403.45",1.34,0.0956,0,0
SPX,标普500,2000/1/7,"1,403.45","1,441.47","1,400.73","1,441.47",38.02,2.709,0,0
SPX,标普500,2000/1/10,"1,441.47","1,464.36","1,441.47","1,457.60",16.13,1.119,0,0
SPX,标普500,2000/1/11,"1,457.60","1,458.66","1,434.42","1,438.56",-19.0399,-1.3063,0,0
SPX,标普500,2000/1/12,"1,438.56","1,442.60","1,427.08","1,432.25",-6.3101,-0.4386,0,0
SPX,标普500,2000/1/13,"1,432.25","1,454.20","1,432.25","1,449.68",17.4301,1.217,0,0
SPX,标普500,2000/1/14,"1,449.68","1,473.00","1,449.68","1,465.15",15.47,1.0671,0,0
SPX,标普500,2000/1/18,"1,465.15","1,465.15","1,451.30","1,455.14",-10.01,-0.6832,0,0
SPX,标普500,2000/1/19,"1,455.14","1,461.39","1,448.68","1,455.90",0.76,0.0522,0,0
SPX,标普500,2000/1/20,"1,455.90","1,465.71","1,438.54","1,445.57",-10.3301,-0.7095,0,0
SPX,标普500,2000/1/21,"1,445.57","1,453.18","1,439.60","1,441.36",-4.21,-0.2912,0,0
SPX,标普500,2000/1/24,"1,441.36","1,454.09","1,395.42","1,401.53",-39.83,-2.7634,0,0
SPX,标普500,2000/1/25,"1,401.53","1,414.26","1,388.49","1,410.03",8.5,0.6065,0,0
SPX,标普500,2000/1/26,"1,410.03","1,412.73","1,400.16","1,404.09",-5.9401,-0.4213,0,0
SPX,标普500,2000/1/27,"1,404.09","1,418.86","1,380.71","1,398.56",-5.5299,-0.3938,0,0
SPX,标普500,2000/1/28,"1,398.56","1,398.56","1,356.20","1,360.16",-38.4,-2.7457,0,0
SPX,标普500,2000/1/31,"1,360.16","1,394.50","1,350.05","1,394.46",34.2999,2.5218,0,0
SPX,标普500,2000/2/1,"1,394.46","1,412.49","1,384.79","1,409.28",14.8201,1.0628,0,0
SPX,标普500,2000/2/2,"1,409.28","1,420.61","1,403.49","1,409.12",-0.16,-0.0114,0,0
SPX,标普500,2000/2/3,"1,409.12","1,425.78","1,398.52","1,424.97",15.85,1.1248,0,0
SPX,标普500,2000/2/4,"1,424.97","1,435.91","1,420.63","1,424.37",-0.6,-0.0421,0,0
SPX,标普500,2000/2/7,"1,424.37","1,427.15","1,413.33","1,424.24",-0.13,-0.0091,0,0
SPX,标普500,2000/2/8,"1,424.24","1,441.83","1,424.24","1,441.72",17.48,1.2273,0,0
SPX,标普500,2000/2/9,"1,441.72","1,444.55","1,411.65","1,411.70",-30.02,-2.0822,0,0
SPX,标普500,2000/2/10,"1,411.70","1,422.10","1,406.43","1,416.83",5.13,0.3634,0,0
SPX,标普500,2000/2/11,"1,416.83","1,416.83","1,378.89","1,387.12",-29.71,-2.0969,0,0
SPX,标普500,2000/2/14,"1,387.12","1,394.93","1,380.53","1,389.94",2.8199,0.2033,0,0
SPX,标普500,2000/2/15,"1,389.94","1,407.72","1,376.25","1,402.05",12.1101,0.8713,0,0
SPX,标普500,2000/2/16,"1,402.05","1,404.55","1,385.58","1,387.67",-14.38,-1.0256,0,0
SPX,标普500,2000/2/17,"1,387.67","1,399.88","1,380.07","1,388.25",0.58,0.0418,0,0
SPX,标普500,2000/2/18,"1,388.26","1,388.59","1,345.32","1,346.09",-42.16,-3.0369,0,0
SPX,标普500,2000/2/22,"1,346.09","1,358.11","1,331.88","1,352.17",6.0801,0.4517,0,0
SPX,标普500,2000/2/23,"1,352.17","1,370.11","1,342.44","1,360.69",8.5199,0.6301,0,0
